,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
3122,tm827648,El Camino: A Breaking Bad Movie,MOVIE,"In the wake of his dramatic escape from captivity, Jesse Pinkman must come to terms with his past in order to forge some kind of future.",2019,R,123,"['crime', 'drama', 'thriller', 'action']",['US'],,tt9243946,7.3,216847.0,42.566,6.91
3123,tm460948,Always Be My Maybe,MOVIE,"Reunited after 15 years, famous chef Sasha and hometown musician Marcus feel the old sparks of attraction but struggle to adapt to each other's worlds.",2019,PG-13,102,"['romance', 'comedy']",['US'],,tt7374948,6.8,55686.0,11.434000000000001,6.6
3125,tm847085,The Social Dilemma,MOVIE,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",2020,PG-13,94,"['drama', 'documentation']",['US'],,tt11464826,7.6,80916.0,20.38,7.5
3126,tm494295,Straight Up,MOVIE,Todd and Rory are intellectual soul mates. He might be gay. She might not care. A romantic-comedy drama with a twist; a love story without the thrill of copulation.,2019,,95,"['comedy', 'romance']",['US'],,tt8855960,6.8,2445.0,6.099,6.9
3127,tm916405,The Outpost,MOVIE,"A small unit of U.S. soldiers, alone at the remote Combat Outpost Keating, located deep in the valley of three mountains in Afghanistan, battles to defend against an overwhelming force of Taliban fighters in a coordinated attack. The Battle of Kamdesh, as it was known, was the bloodiest American engagement of the Afghan War in 2009 and Bravo Troop 3-61 CAV became one of the most decorated units of the 19-year conflict.",2020,R,123,"['history', 'action', 'war', 'drama']","['BG', 'US']",,tt3833480,6.8,32952.0,31.294,6.9
3128,tm823545,Disappearance at Clifton Hill,MOVIE,"Following the death of her mother, a young woman returns home to Niagara Falls and becomes entangled in the memory of a kidnapping she claims to have witnessed as a child.",2020,,100,"['thriller', 'drama']",['CA'],,tt5919756,5.4,3612.0,5.746,5.4
3129,ts90448,The Hateful Eight: Extended Version,SHOW,"Trapped at a stagecoach stop as a storm rages outside, two bounty hunters and an outlaw face a gallery of rogues. Features never-before-seen footage.",2019,TV-MA,53,"['crime', 'thriller', 'western', 'drama']",['US'],1.0,,,,1.96,10.0
3130,tm244207,Triple Frontier,MOVIE,"Struggling to make ends meet, former special ops soldiers reunite for a high-stakes heist: stealing $75 million from a South American drug lord.",2019,R,125,"['thriller', 'action', 'crime', 'drama']",['US'],,tt1488606,6.4,125883.0,28.54,6.3
3131,tm849004,Eurovision Song Contest: The Story of Fire Saga,MOVIE,"Two small-town aspiring musicians chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond.",2020,PG-13,123,"['music', 'comedy']",['US'],,tt8580274,6.5,92086.0,10.817,6.4
3132,ts218802,The Family,SHOW,"An enigmatic conservative Christian group known as the Family wields enormous influence in Washington, D.C., in pursuit of its global ambitions.",2019,TV-14,50,"['documentation', 'sport', 'reality']",['US'],1.0,tt11056808,6.4,3491.0,6.904,6.9
3136,ts225651,Feel Good,SHOW,Recovering addict and comedian Mae tries to control the addictive behaviors and intense romanticism that permeate every facet of her life. Life is further complicated by a new and all-consuming relationship with her new girlfriend George.,2020,TV-MA,25,"['drama', 'comedy', 'romance']",['GB'],2.0,tt10098620,7.5,10690.0,9.986,7.4
3137,tm813695,After We Collided,MOVIE,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults.",2020,R,105,"['drama', 'romance']",['US'],,tt10362466,5.0,30522.0,236.101,7.251
3138,tm448792,In the Shadow of the Moon,MOVIE,"In 1988, Philadelphia police officer Thomas ""Locke"" Lockhart, hungry to become a detective, begins tracking a serial killer whose crimes defy scientific explanation. When the killer mysteriously resurfaces nine years later, Locke's obsession with finding the truth threatens to destroy his career, his family, and possibly his sanity.",2019,R,115,"['scifi', 'crime', 'thriller']","['US', 'CA']",,tt8110640,6.2,52206.0,23.951999999999998,6.2
