,Unnamed: 0,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,prop_female
578,1189,tm212927,Mr. Right,MOVIE,"A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.",2016,R,90,"['action', 'comedy', 'romance']",['US'],,tt2091935,6.3,55955.0,16.884,6.439,0.2962962962962963
581,1192,ts38415,Frontier,SHOW,"The chaotic and violent struggle to control wealth and power in the North American fur trade in late 18th century Canada. Told from multiple perspectives, Frontier takes place in a world where business negotiations might be resolved with close-quarter hatchet fights, and where delicate relations between native tribes and Europeans can spark bloody conflicts.",2016,TV-MA,47,"['action', 'history', 'drama']",['CA'],3.0,tt4686698,7.1,20979.0,23.849,6.8,0.3333333333333333
582,1193,ts42687,PJ Masks,SHOW,"Connor, Greg and Amaya are normal kids by day, but at night they activate their bracelets, which link into their pajamas and give them fantastic super powers, turning them into their alternate identities: The PJ Masks. The team consists of Catboy (Connor), Gekko (Greg) and Owelette (Amaya). Together, they go on adventures, solve mysteries, and learn valuable lessons.",2015,TV-G,15,"['family', 'animation', 'scifi', 'action', 'fantasy', 'european']",['GB'],5.0,tt4148744,5.4,1268.0,42.328,5.0,0.25
589,1202,tm143085,Chappie,MOVIE,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",2015,R,120,"['crime', 'action', 'scifi', 'drama', 'thriller']","['MX', 'ZA', 'US']",,tt1823672,6.8,249345.0,117.369,6.8,0.3111111111111111
591,1205,tm135106,In a Valley of Violence,MOVIE,"The story of a drifter named Paul who arrives in a small town seeking revenge on the thugs who murdered his friend. Sisters Mary Anne and Ellen, who run the town's hotel, help Paul in his quest for vengeance.",2016,R,104,"['crime', 'thriller', 'western', 'action', 'drama']",['US'],,tt3608930,6.0,18987.0,13.597,6.1,0.25
593,1207,ts39007,Van Helsing,SHOW,"Vanessa Helsing, the daughter of famous vampire hunter and Dracula nemesis Abraham Van Helsing is resurrected five years in the future to find out that vampires have taken over the world and that she possesses unique power over them. She is humanity’s last hope to lead an offensive to take back what has been lost.",2016,TV-14,42,"['scifi', 'action', 'fantasy', 'horror', 'drama']",['US'],5.0,tt5197820,6.2,22172.0,95.708,7.1,0.5
600,1215,ts41490,Hap and Leonard,SHOW,"A darkly comic swamp noir story of two best friends set in the late 1980s. Based on the novels by Joe R. Lansdale, the series follows Hap Collins, an East Texas white boy with a weakness for Southern women, and Leonard Pine, a gay, black Vietnam vet with a hot temper.",2016,TV-MA,42,"['action', 'thriller', 'crime', 'drama']",['US'],3.0,tt3729898,7.6,7696.0,6.942,7.2,0.0
607,1225,tm140843,Self/less,MOVIE,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,2015,PG-13,118,"['thriller', 'action', 'scifi', 'drama']",['US'],,tt2140379,6.5,98837.0,24.941,6.407,0.46
611,1229,tm204035,Spectral,MOVIE,A special-ops team is dispatched to fight supernatural beings that have taken over a European city.,2016,PG-13,109,"['thriller', 'action', 'scifi']",['US'],,tt2106651,6.3,59040.0,30.663,6.43,0.21212121212121213
615,1237,tm239743,Batman: The Killing Joke,MOVIE,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.",2016,R,76,"['animation', 'drama', 'action', 'thriller', 'crime']",['US'],,tt4853102,6.4,56275.0,25.747,6.615,0.07692307692307693
617,1240,tm208622,American Ultra,MOVIE,"Mike is an unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe, is suddenly turned upside down.  Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive.",2015,R,96,"['action', 'comedy', 'scifi']","['CH', 'US']",,tt3316948,6.1,89912.0,20.733,6.1,0.3220338983050847
631,1255,tm244403,ARQ,MOVIE,Two old friends living in a dystopic future become trapped in a mysterious time loop — one that may have something to do with an ongoing battle between an omnipotent corporation and a ragtag band of rebels.,2016,R,88,"['scifi', 'thriller', 'action']",['US'],,tt5640450,6.3,39108.0,20.157,6.1,0.3
638,1263,ts53249,Trollhunters: Tales of Arcadia,SHOW,"After uncovering a mysterious amulet, an average teen assumes an unlikely destiny and sets out to save two worlds.",2016,TV-Y7,22,"['scifi', 'action', 'fantasy', 'comedy', 'drama', 'animation', 'family']",['US'],3.0,tt1734135,8.4,16779.0,50.896,8.5,0.42857142857142855
639,1265,ts42137,Voltron: Legendary Defender,SHOW,Five unlikely teenage heroes and their flying robot lions unite to form the megapowerful Voltron and defend the universe from evil.,2016,TV-Y7,24,"['action', 'scifi', 'comedy', 'fantasy', 'drama', 'animation', 'family']",['US'],8.0,tt5580664,8.1,8821.0,16.452,7.4,0.4444444444444444
640,1268,ts35987,Transformers: Robots In Disguise,SHOW,"Years after the events of Predacons Rising, Bumblebee is summoned back to Earth to battle several of Cybertron's most wanted Decepticons that escaped from a crashed prison ship and assembles a team of young Autobots that includes Sideswipe (a rebel ""bad boy bot""), Strongarm (an Elite Guard cadet), Grimlock (a bombastic Dinobot), and Fixit (a hyperactive Mini-Con with faulty wiring).",2015,TV-Y7,21,"['comedy', 'scifi', 'animation', 'action']",['US'],5.0,tt3604232,6.0,1066.0,11.302,7.6,0.2
641,1269,tm228677,The Space Between Us,MOVIE,"In this interplanetary adventure, a space shuttle embarks on the first mission to colonize Mars, only to discover after takeoff that one of the astronauts is pregnant. Shortly after landing, she dies from complications while giving birth to the first human born on the red planet – never revealing who the father is. Thus begins the extraordinary life of Gardner Elliot – an inquisitive, highly intelligent boy who reaches the age of 16 having only met 14 people in his very unconventional upbringing.",2016,PG-13,121,"['drama', 'romance', 'action', 'scifi']","['CN', 'US']",,tt3922818,6.4,52698.0,23.219,7.1,0.3333333333333333
649,1281,tm214825,The Ridiculous 6,MOVIE,"When his long-lost outlaw father returns, Tommy ""White Knife"" Stockburn goes on an adventure-filled journey across the Old West with his five brothers.",2015,PG-13,119,"['western', 'comedy', 'action']",['US'],,tt2479478,4.8,47935.0,40.711,5.152,0.24675324675324675
651,1285,tm239707,The Do-Over,MOVIE,The life of a bank manager is turned upside down when a friend from his past manipulates him into faking his own death and taking off on an adventure.,2016,PG-13,108,"['action', 'comedy']",['US'],,tt4769836,5.7,46260.0,11.466,5.6720000000000015,0.3333333333333333
655,1290,ts37779,Danger Mouse,SHOW,"Danger Mouse is back saving London, saving the World and, most importantly, saving Penfold in brand new and fantastically absurd, energetic adventures.",2015,,12,"['comedy', 'action', 'crime', 'family', 'fantasy', 'scifi', 'animation', 'european']",['GB'],2.0,tt4196822,7.2,587.0,6.3260000000000005,7.6,0.36363636363636365
