,Unnamed: 0,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,prop_female
2130,4876,tm1138743,The Martha Mitchell Effect,MOVIE,She was once as famous as Jackie O—and then she tried to take down a President. Martha Mitchell was the unlikeliest of whistleblowers: a Republican wife who was discredited by Nixon to keep her quiet. Until now.,2022,PG,40,['documentation'],['US'],,tt16379454,,,4.687,6.8,0.5
2139,4899,ts328541,The Puppet Master: Hunting the Ultimate Conman,SHOW,"In this harrowing docuseries, a cruel conman masquerading as a British spy manipulates and steals from his victims, leaving ruined families in his wake.",2022,TV-MA,42,"['documentation', 'crime']",['GB'],1.0,tt15479704,7.0,6370.0,6.409,6.564,0.5
2141,4904,tm1185360,Return to Space,MOVIE,The inspirational rise of SpaceX as well as Elon Musk's two-decade effort to resurrect America’s space travel ambitions.,2022,,128,['documentation'],['US'],,tt18555320,7.3,4087.0,19.791,6.2,0.3125
2151,4918,ts299865,Heist,SHOW,Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.,2021,TV-MA,43,"['crime', 'documentation']",['US'],1.0,tt14865290,6.8,1748.0,5.935,6.9,0.2857142857142857
2153,4925,ts330425,The Principles of Pleasure,SHOW,"Sex, joy and modern science converge in this eye-opening series that celebrates the complex world of women's pleasure — and puts stubborn myths to rest.",2022,TV-MA,51,['documentation'],['US'],1.0,tt18299058,5.7,1121.0,4.4460000000000015,6.0,0.0
2154,4926,tm1185374,The Mystery of Marilyn Monroe: The Unheard Tapes,MOVIE,This documentary explores the mystery surrounding the death of movie icon Marilyn Monroe through previously unheard interviews with her inner circle.,2022,R,101,['documentation'],['US'],,tt19034332,6.2,3978.0,89.61,6.3,0.4074074074074074
2156,4929,ts271413,Night Stalker: The Hunt for a Serial Killer,SHOW,"Beneath the sunlit glamour of 1985 L.A. lurks a relentlessly evil serial killer. In this true-crime story, two detectives won't rest until they catch him.",2021,TV-MA,47,"['documentation', 'crime', 'thriller']",['US'],1.0,tt13651632,7.5,24892.0,15.428,7.4,0.25
2157,4930,tm1079334,"Bob Ross: Happy Accidents, Betrayal & Greed",MOVIE,Bob Ross brought joy to millions as the world's most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.,2021,PG-13,92,['documentation'],"['US', 'NL']",,tt14539744,6.9,5856.0,6.605,6.8,0.4444444444444444
2158,4931,ts296214,How to Become a Tyrant,SHOW,The documentary series explores different political figures throughout history.,2021,TV-MA,27,"['documentation', 'war', 'history']",['US'],1.0,tt14832996,7.4,8484.0,11.324000000000002,7.5,0.0
2159,4934,ts94677,Worst Roommate Ever,SHOW,Violent con artists. Stone-cold killers. These terrifying true stories unveil some of the worst cohabitation experiences one could ever imagine.,2022,TV-MA,47,"['crime', 'documentation', 'drama', 'thriller']",['US'],1.0,tt8323702,8.1,8.0,4.457,6.9,0.4
2163,4944,ts344184,Conversations with a Killer: The John Wayne Gacy Tapes,SHOW,He dined with the powerful. He preyed on the vulnerable. Beneath a smiling exterior was the horrifying darkness of a sadistic serial killer.,2022,TV-MA,61,"['documentation', 'crime']",['US'],1.0,tt18970124,7.1,6665.0,94.08,7.4,0.0
2164,4945,ts314594,Catching Killers,SHOW,"The investigators behind infamous serial killer cases reveal the harrowing, chilling details of their extraordinary efforts in this true crime series.",2021,TV-MA,41,"['crime', 'documentation']",['US'],2.0,tt15723914,7.1,3250.0,12.505999999999998,7.0,0.42857142857142855
2165,4947,tm919880,Final Account,MOVIE,A depiction of the last living generation of German participants in Adolf Hitler’s Third Reich.,2021,PG-13,94,['documentation'],"['GB', 'US']",,tt12789212,7.1,1042.0,3.38,7.1,0.0
2174,4967,ts294338,Hard Cell,SHOW,A documentary crew follows the inmates and staff of HMP Woldsley while Catherine Tate portrays multiple characters to capture the penal system at its brutal humorous best.,2022,TV-MA,26,"['comedy', 'documentation', 'sport']","['US', 'GB']",1.0,tt14959710,6.2,1568.0,2.9360000000000004,5.8,0.42857142857142855
2177,4971,ts284702,This Is a Robbery: The World's Biggest Art Heist,SHOW,"In 1990, two men dressed as cops con their way into a Boston museum and steal a fortune in art. Take a deep dive into this daring and notorious crime.",2021,TV-MA,53,"['crime', 'documentation', 'history']",['US'],1.0,tt14223858,6.5,4328.0,5.515,6.9,0.19047619047619047
2179,4974,ts271595,Crime Scene: The Vanishing at the Cecil Hotel,SHOW,The notorious Cecil Hotel grows in infamy when guest Elisa Lam vanishes. A dive into crime's darkest places.,2021,TV-MA,55,"['documentation', 'crime', 'thriller']",['US'],1.0,tt13837672,5.9,16799.0,18.971,7.2,0.25
2180,4975,tm1179973,Trust No One: The Hunt for the Crypto King,MOVIE,"When the young founder of a collapsing cryptocurrency exchange dies unexpectedly, irate investors suspect there's more to his death than meets the eye.",2022,R,90,"['documentation', 'crime']",['GB'],,tt15479902,6.3,4444.0,24.834,6.0,0.0
