,Unnamed: 0,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,prop_female
976,1919,ts75263,Wormwood,SHOW,"In this genre-bending tale, Errol Morris explores the mysterious death of a U.S. scientist entangled in a secret Cold War program known as MK-Ultra.",2017,TV-14,43,"['crime', 'documentation', 'drama', 'fantasy']",['US'],1.0,tt1149367,7.0,4239.0,1.898,6.2,0.0
977,1920,tm368241,Duck Butter,MOVIE,"Dissatisfied with the dishonesty they see in dating, strangers Naima and Sergio make a pact to spend 24 straight hours together in an attempt to fast forward their relationship.",2018,,94,"['comedy', 'drama', 'romance']",['US'],,tt6958014,5.2,3978.0,10.765999999999998,5.5,0.4411764705882353
979,1922,tm244175,The Zookeeper's Wife,MOVIE,"The account of keepers of the Warsaw Zoo, Jan and Antonina Zabinski, who helped save hundreds of people and animals during the Nazi invasion.",2017,PG-13,126,"['war', 'drama', 'history']","['CZ', 'GB', 'US']",,tt1730768,7.0,43091.0,23.231,7.4,0.4090909090909091
983,1926,tm285107,Victoria & Abdul,MOVIE,Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.,2017,PG-13,111,"['drama', 'history']","['GB', 'US']",,tt5816682,6.8,35690.0,11.743,7.0,0.2857142857142857
984,1927,tm319882,Hampstead,MOVIE,"Emily Walters is an American widow living a peaceful, uneventful existence in the idyllic Hampstead Village of London, when she meets  local recluse, Donald Horner. For 17 years, Donald has lived—wildly yet peacefully—in a ramshackle hut near the edge of the forest. When Emily learns his home is the target of developers who will stop at nothing to remove him, saving Donald and his property becomes her personal mission. Despite his gruff exterior and polite refusals for help, Emily is drawn to him—as he is to her—and what begins as a charitable cause evolves into a relationship that will grow even as the bulldozers close in.",2017,PG-13,102,"['comedy', 'romance', 'drama']",['GB'],,tt5153236,6.0,6449.0,10.323,6.0,0.11764705882352941
985,1929,tm233294,War Machine,MOVIE,A rock star general bent on winning the “impossible” war in Afghanistan takes us inside the complex machinery of modern war. Inspired by the true story of General Stanley McChrystal.,2017,R,122,"['drama', 'comedy', 'war']",['US'],,tt4758646,6.0,46276.0,12.235,5.5520000000000005,0.2413793103448276
989,1937,ts41527,Gypsy,SHOW,The journey of Jean Holloway – a therapist who begins to develop dangerous and intimate relationships with the people in her patients' lives.,2017,TV-MA,59,"['drama', 'thriller']",['US'],1.0,tt5503718,6.8,16229.0,13.857,6.4,0.2222222222222222
990,1938,tm411311,King of Thieves,MOVIE,"London, England, April 2015. Brian Reader, a retired thief, gathers an unlikely gang of burglars to perpetrate the biggest and boldest heist in British history. The thieves assault the Hatton Garden Safe Deposit Company and escape with millions in goods and money. But soon the cracks between the gang members begin to appear when they discuss how to share the loot.",2018,R,108,"['drama', 'crime', 'history']",['GB'],,tt5789976,5.5,14418.0,9.215,5.4,0.4230769230769231
991,1940,tm368040,The Titan,MOVIE,"On a bleak future Earth, a soldier endures a radical genetic transformation to save humanity. But his wife fears he's becoming more creature than man.",2018,R,97,"['scifi', 'thriller', 'fantasy', 'drama', 'romance']","['US', 'GB', 'ES']",,tt6973848,4.8,30698.0,17.97,5.4,0.2608695652173913
994,1943,tm244148,Mowgli: Legend of the Jungle,MOVIE,"A human child raised by wolves, must face off against a menacing tiger named Shere Khan, as well as his own origins.",2018,PG-13,105,"['action', 'drama', 'fantasy']","['GB', 'US']",,tt2388771,6.5,61622.0,24.646,6.5,0.3684210526315789
997,1947,tm420745,How It Ends,MOVIE,A desperate father tries to return home to his pregnant wife after a mysterious apocalyptic event turns everything to chaos.,2018,,113,"['scifi', 'thriller', 'action', 'drama']","['US', 'CA']",,tt5246700,5.0,52709.0,18.214,5.3,0.23809523809523808
998,1948,tm217228,Death Note,MOVIE,"A young man comes to possess a supernatural notebook, the Death Note, that grants him the power to kill any person simply by writing down their name on the pages. He then decides to use the notebook to kill criminals and change the world, but an enigmatic detective attempts to track him down and end his reign of terror.",2017,NC-17,101,"['horror', 'thriller', 'crime', 'fantasy', 'drama', 'action']",['US'],,tt1241317,4.5,84119.0,22.306,4.2,0.3673469387755102
1002,1953,tm139885,The Other Side of the Wind,MOVIE,"Surrounded by fans and skeptics, grizzled director J.J. ""Jake"" Hannaford returns from years abroad in Europe to a changed Hollywood, where he attempts to make his innovative comeback film.  This film was started in 1970 but never completed during Welles lifetime.",2018,R,122,"['drama', 'european']","['IR', 'US', 'FR']",,tt0069049,6.7,7104.0,7.4529999999999985,6.7,0.25675675675675674
1003,1955,tm244317,To the Bone,MOVIE,A young woman dealing with anorexia meets an unconventional doctor who challenges her to face her condition and embrace life.,2017,,107,['drama'],['US'],,tt6143418,6.8,47025.0,22.167,7.2,0.2962962962962963
1006,1961,tm370232,We the Animals,MOVIE,"Manny, Joel and Jonah tear their way through childhood and push against the volatile love of their parents. As Manny and Joel grow into versions of their father and Ma dreams of escape, Jonah, the youngest, embraces an imagined world all his own.",2018,R,94,['drama'],['US'],,tt7681824,6.9,4303.0,6.702000000000001,6.5,0.3
1010,1965,ts57210,Valor,SHOW,"The boundaries between military discipline and human desire are tested on a U.S. Army base that houses an elite unit of helicopter pilots trained to perform clandestine international and domestic missions. The drama unfolds in the present as well as in flashbacks to a failed mission involving one of the first female pilots in the unit, ultimately uncovering layers of personal and government/military secrets and leading to a season-long plan to rescue a group of MIA soldiers.",2017,TV-14,42,['drama'],['US'],1.0,tt6503244,5.8,3184.0,5.658,6.5,0.3333333333333333
1011,1967,ts81542,The Hollow,SHOW,"Three teens join forces to find a way home after waking up in a strange realm filled with magic portals, perplexing puzzles and vicious beasts.",2018,TV-Y7,24,"['comedy', 'scifi', 'animation', 'drama', 'family']",['CA'],2.0,tt2372708,7.1,4266.0,10.299,7.1,0.2857142857142857
1015,1974,tm439484,Welcome Home,MOVIE,A couple try to repair their damaged union in an Italian vacation paradise. Then they discover the owner's intentions.,2018,R,97,"['thriller', 'horror', 'drama', 'comedy']",['US'],,tt6829180,5.2,7597.0,24.328000000000007,5.2,0.3333333333333333
1017,1977,tm139545,The Outsider,MOVIE,A former American G.I. joins a yakuza family after his release from prison in post-World War II Osaka.,2018,R,120,"['drama', 'action', 'crime', 'thriller']",['US'],,tt6276110,6.2,25608.0,11.155,6.2,0.47619047619047616
1018,1979,tm374454,Indian Horse,MOVIE,Saul is a great native hockey player who overcomes racism in the 1970s then ultimately becomes tempted by alcoholism.,2018,PG-13,96,"['drama', 'sport']",['CA'],,tt5672286,7.2,2171.0,6.194,7.3,0.2857142857142857
1019,1980,ts78382,On My Block,SHOW,A coming of age comedy following a diverse group of teenage friends as they confront the challenges of growing up in gritty inner-city Los Angeles.,2018,TV-14,29,"['comedy', 'drama']",['US'],4.0,tt7879820,7.9,16106.0,31.784,8.5,0.4
1020,1981,ts80519,Spy Kids: Mission Critical,SHOW,"In this animated spinoff series, Juni and Carmen Cortez must battle the evil organization S.W.A.M.P. -- without the help of their super-spy parents.",2018,TV-Y7,25,"['animation', 'action', 'comedy', 'family', 'drama', 'music', 'romance', 'thriller', 'scifi']",['US'],3.0,tt6714408,4.7,382.0,7.221,8.4,0.5
1021,1983,tm349800,Unicorn Store,MOVIE,"A woman named Kit moves back to her parent's house, where she receives a mysterious invitation that would fulfill her childhood dreams.",2017,,92,"['drama', 'comedy', 'fantasy']",['US'],,tt2338454,5.5,19444.0,8.72,6.0,0.3125
1025,1988,tm289181,Newness,MOVIE,"In contemporary Los Angeles, two millennials navigating a social media–driven hookup culture begin a relationship that pushes both emotional and physical boundaries.",2017,,112,"['romance', 'drama']",['US'],,tt6408226,6.3,16654.0,34.214,6.1,0.47058823529411764
1027,1991,ts55491,Somewhere Between,SHOW,"Laura Price, a local news producer in San Francisco, is helping the police to hunt down a serial killer. After the killer strikes close to home, a twist of fate allows a “Groundhog Day”-type reset, and Laura relives the week prior to the string of murders. Can she change fate and stop the killer?",2017,TV-14,42,"['drama', 'thriller', 'scifi']",['US'],1.0,tt6467294,6.2,5957.0,14.04,6.5,0.5
1035,2005,ts56718,El Chapo,SHOW,"A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power of during the '90s and his ultimate downfall in 2016.",2017,TV-MA,44,"['drama', 'action', 'crime', 'history']",['US'],3.0,tt6692188,7.8,18229.0,114.888,7.5,0.2857142857142857
1039,2011,tm324870,Dude,MOVIE,Four best friends negotiate loss and major life changes during the last two weeks of high school.,2018,,90,"['comedy', 'drama']",['US'],,tt3458510,5.2,6873.0,10.798,5.5,0.47058823529411764
1050,2031,ts79026,The Innocents,SHOW,"When a teenage couple runs away to be together, the extraordinary gift they possess unleashes powerful forces intent on dividing them forever.",2018,TV-MA,46,"['scifi', 'drama', 'horror', 'romance', 'thriller']",['GB'],2.0,tt8021824,6.2,5804.0,20.691,6.1,0.5
1053,2035,tm420797,Sierra Burgess Is a Loser,MOVIE,A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,2018,PG-13,105,"['romance', 'comedy', 'drama']",['US'],,tt3120280,5.8,38841.0,14.072,6.3,0.36
1055,2038,tm322243,Shimmer Lake,MOVIE,Shot in reverse day-by-day through a week—a local sheriff embarks on a quest to unlock the mystery of three small-town criminals and a bank heist gone wrong.,2017,,83,"['thriller', 'crime', 'drama', 'action', 'history', 'horror', 'romance']","['CA', 'US']",,tt1386691,6.3,14098.0,20.508000000000006,5.9,0.3
1057,2042,ts57080,Spirit: Riding Free,SHOW,"In a small Western town, spunky ex-city girl Lucky forms a tight bond with wild horse Spirit while having adventures with best pals Pru and Abigail.",2017,TV-Y7,23,"['action', 'animation', 'family', 'western', 'comedy', 'drama', 'documentation']",['US'],11.0,tt10687624,6.4,1012.0,15.689,8.3,0.0
1058,2046,ts81885,The Good Cop,SHOW,"Honest cop Tony Jr. gets advice from his unscrupulous father, retired NYPD officer Tony Sr., about everything from his job to his love life.",2018,TV-PG,46,"['drama', 'comedy', 'crime', 'documentation']",['US'],1.0,tt7183074,6.9,5732.0,8.714,6.4,0.4
1061,2052,tm219258,Brain on Fire,MOVIE,"Susannah Cahalan, an up-and-coming journalist at the New York Post becomes plagued by voices in her head and seizures, causing a rapid descent into insanity.",2017,PG-13,88,"['drama', 'european']","['CA', 'IE']",,tt3704700,6.6,21444.0,12.009,7.1,0.30434782608695654
1064,2057,tm244368,You Get Me,MOVIE,"After arguing with his girlfriend, Ali, Tyler lands in the arms of sexy new girl, Holly. The next morning, he finds that not only does Ali agree to take him back, but Holly is a new student at their school and is dead set on her new man.",2017,,89,"['thriller', 'romance', 'drama', 'crime']",['US'],,tt5539054,4.7,12740.0,20.089,5.6,0.4444444444444444
1067,2060,tm419733,"My Teacher, My Obsession",MOVIE,"Riley is struggling to make friends after transferring to a new high school where her father, Chris, is an English teacher. When she meets Kyla, they quickly becomes close friends. However, the friendship takes a strange turn when Riley learns that Kyla is obsessed with her dad. Will Kyla successfully seduce Chris and start a twisted new life with him by removing everyone in her path, or will Riley be able to save her father from Kyla’s treacherous plot before it’s too late?",2018,,105,"['thriller', 'drama']",['US'],,tt6997574,4.4,2354.0,25.407,5.0,0.3333333333333333
1068,2061,tm352774,Voyeur,MOVIE,"Journalism icon Gay Talese reports on Gerald Foos, the Colorado motel owner who allegedly secretly watched his guests with the aid of specially designed ceiling vents, peering down from an ""observation platform"" he built in the motel's attic.",2017,R,95,"['documentation', 'crime', 'drama']",['US'],,tt3465276,6.1,6097.0,9.593,6.0,0.0
1070,2065,ts78507,Alexa & Katie,SHOW,Lifelong best friends Alexa and Katie are eagerly anticipating the start of their freshman year of high school. The pals confront a crisis that leaves them feeling like outsiders at a time when what seems to matter most is fitting in.,2018,TV-Y7,25,"['comedy', 'drama']",['US'],4.0,tt6916746,7.4,4885.0,32.166,8.3,0.5
1072,2070,tm326723,The Polka King,MOVIE,Local Pennsylvania polka legend Jan Lewan develops a plan to get rich that shocks his fans and lands him in jail.,2017,,95,"['comedy', 'music', 'drama']",['US'],,tt5539052,5.9,10568.0,8.066,5.515,0.43902439024390244
